,Wealth,Return,Weight,Price
0,9969.492787078536,-0.0030553842283081757,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.994,1.000,1.000,1.000,1.000"
1,9972.611858469338,0.00031281266161966393,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.002,1.000,1.000,1.000,1.000"
2,9947.823222002868,-0.0024887658488689695,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.985,1.000,1.000,1.000,1.000"
3,9954.984272741976,0.0007196021013633205,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.004,1.000,1.000,1.000,1.000"
4,9883.980753811175,-0.007158016761861312,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.957,1.000,1.000,1.000,1.000"
5,9938.38841490701,0.005489535308711633,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.033,1.000,1.000,1.000,1.000"
6,9941.177330949047,0.0002805811853222757,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.002,1.000,1.000,1.000,1.000"
7,9900.902207295878,-0.00405957237366423,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.976,1.000,1.000,1.000,1.000"
8,9845.813000506521,-0.005579596315522719,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.967,1.000,1.000,1.000,1.000"
9,9870.950426713709,0.0025498545864044747,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.015,1.000,1.000,1.000,1.000"
10,9953.503515609242,0.008328458005866669,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.050,1.000,1.000,1.000,1.000"
11,9964.868583394242,0.0011411644447511177,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.007,1.000,1.000,1.000,1.000"
12,9967.713648119277,0.000285468757766638,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.002,1.000,1.000,1.000,1.000"
13,9915.59501664533,-0.005242462581969335,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.969,1.000,1.000,1.000,1.000"
14,9939.60021183783,0.0024180277869351122,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.015,1.000,1.000,1.000,1.000"
15,9987.198925806491,0.004777365814701578,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.029,1.000,1.000,1.000,1.000"
16,10014.625379086641,0.0027423968985044143,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.017,1.000,1.000,1.000,1.000"
17,10006.171447712639,-0.0008445150260089699,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.995,1.000,1.000,1.000,1.000"
18,9974.109915816249,-0.00320932011234687,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.981,1.000,1.000,1.000,1.000"
19,9916.622381236257,-0.0057803497415731915,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.965,1.000,1.000,1.000,1.000"
20,9959.45724232196,0.00431019881302468,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.026,1.000,1.000,1.000,1.000"
21,9925.962442660499,-0.0033687829443817007,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.980,1.000,1.000,1.000,1.000"
22,9899.824998464679,-0.0026367133629662414,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.984,1.000,1.000,1.000,1.000"
23,9856.139618070405,-0.004422507576234756,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.974,1.000,1.000,1.000,1.000"
24,9848.158258214009,-0.0008101136455620662,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,0.995,1.000,1.000,1.000,1.000"
25,9883.798824055832,0.0036124753821697633,"0.17,0.17,0.17,0.17,0.17,0.17","1.000,1.022,1.000,1.000,1.000,1.000"
